"#","","Zip Code","Stat","Tower Name","Address","Unit Number","Current Price","Approx Liv Area","Beds Total","Baths Total","Actual Close Date","Total Monthly CIC","DOM","Sold Term","List Agent Full Name","List Agent ID","Selling Agent Full Name","Selling/Showing Agent ID"
"501","2634829","89101","A-ER","JUHL","353 East Bonneville AVE","1106","$480,000","1,183","1","2","","$706.00","22","","Tamara Jacobson","237016","",""
"501","2633270","89101","A-ER","JUHL","353 East Bonneville AVE","181/281","$649,000","1,878","1","2","","$688.00","39","","Michelle L. Manley","224836","",""
"501","2584372","89101","A-ER","JUHL","353 East Bonneville AVE","251","$289,900","879","1","1","","$711.00","217","","Amelia Sorensen","235805","",""
"501","2591336","89101","A-ER","JUHL","353 East Bonneville AVE","369","$399,999","1,126","2","2","","$588.00","195","","Shari D. Sanderson","222452","",""
"501","2591249","89101","A-ER","JUHL","353 East Bonneville AVE","375","$400,000","1,126","2","2","","$591.00","195","","Michelle L. Manley","224836","",""
"501","2599762","89101","A-ER","JUHL","353 East Bonneville AVE","439","$335,000","786","1","1","","$685.00","164","","Brandon Johnson","242949","",""
"501","2633271","89101","A-ER","JUHL","353 East Bonneville AVE","503","$310,000","884","1","1","","$655.00","39","","Michelle L. Manley","224836","",""
"501","2591314","89101","A-ER","JUHL","353 East Bonneville AVE","515","$450,000","1,263","2","3","","$608.00","195","","Shari D. Sanderson","222452","",""
"501","2615987","89101","A-ER","JUHL","353 East Bonneville AVE","577","$320,000","552","1","1","","$619.00","104","","Nathan Strager","210189","",""
"501","2620789","89101","A-ER","JUHL","353 East Bonneville AVE","632","$459,999","1,114","2","2","","$700.00","88","","Stephen Ord","233001","",""
"501","2601268","89101","A-ER","JUHL","353 East Bonneville AVE","711","$320,000","884","1","1","","$655.00","118","","Randy K. Hatada","212674","",""
"501","2603648","89101","A-ER","JUHL","353 East Bonneville AVE","754","$355,000","996","1","1","","$669.00","150","","Elizabeth Valenzuela","216810","",""
"501","2622806","89101","A-ER","JUHL","353 East Bonneville AVE","761","$409,000","984","2","2","","$671.00","81","","Mimi Kristiyana Loh","201300","",""
"501","2600896","89101","A-ER","JUHL","353 East Bonneville AVE","802","$310,000","838","1","1","","$644.00","161","","Jonathan Moreno","240500","",""
"501","2585577","89101","A-ER","JUHL","353 East Bonneville AVE","905","$339,900","838","1","1","","$645.00","212","","Amelia Sorensen","235805","",""
"501","2613356","89103","A-ER","THE MARTIN","4471 Dean Martin DR","1002","$499,999","1,111","2","2","","$850.00","97","","Julie Fill","248129","",""
"501","2613069","89103","A-ER","THE MARTIN","4471 Dean Martin DR","1207","$645,000","1,437","2","2","","$1,000.00","112","","Riley S McNeff","244484","",""
"501","2630317","89103","A-ER","THE MARTIN","4471 Dean Martin DR","1210","$1,300,000","1,962","2","3","","$1,500.00","50","","Courtney Bentley","242935","",""
"501","2605644","89103","A-ER","THE MARTIN","4471 Dean Martin DR","1502","$535,000","1,111","2","2","","$850.00","141","","Kyle M Fujimoto","241599","",""
"501","2627655","89103","A-ER","THE MARTIN","4471 DEAN MARTIN DR","1707","$2,250,000","3,090","3","3","","$2,363.00","46","","Nicole R. Tomlinson","213978","",""
"501","2635603","89103","A-ER","THE MARTIN","4471 Dean Martin DR","2000","$529,000","1,035","1","1","","$792.00","27","","Fernanda A. Kriese","241836","",""
"501","2590275","89103","A-ER","THE MARTIN","4471 Dean Martin DR","2205","$545,000","1,111","2","2","","$900.00","194","","Shaun Pierovich","247793","",""
"501","2610763","89103","A-ER","THE MARTIN","4471 Dean Martin DR","2806","$629,000","1,111","2","2","","$782.00","125","","Samrina Vasani","254467","",""
"501","2636732","89103","A-ER","PANORAMA TOWERS","4471 Dean Martin DR","3000","$548,888","1,035","1","1","","$791.00","18","","Sachie McQueen","234002","",""
"501","2639466","89103","A-ER","THE MARTIN","4471 Dean Martin DR","3605","$595,000","1,111","2","2","","$850.00","13","","Mark L. Frye","098821","",""
"501","2587700","89103","A-ER","THE MARTIN","4471 Dean Martin DR","3805","$625,000","1,111","2","2","","$801.00","206","","Joseph H. Klinge","201332","",""
"501","2632791","89103","A-ER","THE MARTIN","4471 DEAN MARTIN DR","4300","$4,250,000","4,826","3","4","","$3,200.00","41","","Michelle L. Manley","224836","",""
"501","2559077","89103","A-ER","THE MARTIN","4471 Dean Martin DR","4308","$4,750,000","3,616","5","4","","$2,760.00","319","","A William Zinsser","099885","",""
"501","2617301","89103","A-ER","THE MARTIN","4471 Dean Martin DR","502","$480,000","1,111","2","2","","$849.00","92","","Beth A. Legge","231611","",""
"501","2623750","89103","A-ER","THE MARTIN","4471 Dean Martin DR","606","$479,000","1,111","2","2","","$849.00","78","","Ahmed Khan","245091","",""
"501","2621420","89103","A-ER","PANORAMA TOWERS","4515 Dean Martin DR","200","$1,375,000","2,629","2","2","","$2,311.00","83","","Brendan J. King III","229274","",""
"501","2628872","89103","A-ER","PANORAMA TOWERS","4525 Dean Martin DR","1102","$340,000","808","1","2","","$691.00","52","","Haya Kessler","223069","",""
"501","2608947","89103","A-ER","PANORAMA TOWERS","4525 Dean Martin DR","1208","$598,000","1,428","2","2","","$1,221.00","131","","Steve Gonzalez","235575","",""
"501","2598663","89103","A-ER","PANORAMA TOWERS","4525 Dean Martin DR","2200","$1,850,000","2,406","2","3","","$1,520.00","167","","Edwin Moradian","216603","",""
"501","2624902","89103","A-ER","PANORAMA TOWERS","4525 Dean Martin DR","2406","$1,875,000","2,230","2","3","","$1,907.00","74","","Leah C. Hisatake","218949","",""
"501","2614077","89103","A-ER","PANORAMA TOWERS","4525 Dean Martin DR","2503","$13,280,000","8,017","2","5","","$10,029.00","101","","Michael L. Zelina","230397","",""
"501","2631550","89103","A-ER","PANORAMA TOWERS","4525 Dean Martin DR","2704","$865,000","1,631","2","2","","$2,790.00","42","","Brandy J. White Elk","202699","",""
"501","2614466","89103","A-ER","PANORAMA TOWERS","4525 Dean Martin DR","2800","$1,450,000","2,390","2","3","","$2,044.00","110","","Ivan G. Sher","096090","",""
"501","2634659","89103","A-ER","PANORAMA TOWERS","4525 Dean Martin DR","302","$499,999","1,488","2","2","","$1,273.00","32","","Olga Moreno","254807","",""
"501","2635559","89103","A-ER","PANORAMA TOWERS","4525 Dean Martin DR","501","$385,000","1,011","1","2","","$865.00","19","","Shana L. Reese","232184","",""
"501","2634214","89103","A-ER","PANORAMA TOWERS","4575 Dean Martin DR","1103","$525,000","1,054","2","2","","$937.00","28","","Mahsheed Parsons","218592","",""
"501","2635691","89103","A-ER","PANORAMA TOWERS","4575 Dean Martin DR","2211","$585,000","1,126","2","2","","$895.00","22","","Craig Tann","211668","",""
"501","2615513","89103","A-ER","PANORAMA TOWERS","4575 Dean Martin DR","2907","$888,888","1,612","2","3","","$1,379.00","105","","Sonny Ho","214000","",""
